src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,pkt_count_fwd,pkt_count_bwd,pkt_count_total,byte_count_fwd,byte_count_bwd,byte_count_total,mean_iat,min_iat,max_iat,std_iat,mean_pkt_size,min_pkt_size,max_pkt_size,bytes_per_pkt,pkt_rate,byte_rate,fwd_bwd_pkt_ratio,fwd_bwd_byte_ratio,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.0.10,80,150.27.128.107,25512,UDP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,udp
10.0.0.10,80,202.36.95.193,45759,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,42.99.175.50,21606,UDP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,udp
10.0.0.10,80,211.139.241.48,11714,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,80,110.108.162.101,63618,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,80,192.250.229.232,23729,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
127.0.0.1,443,127.0.0.1,51386,TCP,4e-06,1,1,2,54,74,128,4e-06,4e-06,4e-06,0.0,64.0,54,74,64.0,493447.53,31580641.88,0.5,0.72,1,1,0,1,0,benign
127.0.0.1,110,127.0.0.1,50756,TCP,1.5e-05,1,1,2,54,74,128,1.5e-05,1.5e-05,1.5e-05,0.0,64.0,54,74,64.0,133152.51,8521760.51,0.5,0.72,1,1,0,1,0,benign
10.0.0.10,80,176.18.157.80,64756,UDP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,udp
10.0.0.10,80,154.57.79.214,7558,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
